name,generic_name,strength,form,category,manufacturer,dosage_instructions,side_effects,contraindications,interactions,therapeutic_class,availability,price,min_dose_mg,max_dose_mg,pediatric_dose_mg_kg,geriatric_dose_multiplier,kidney_impairment_multiplier,liver_impairment_multiplier,pregnancy_category,breastfeeding_safe
Valacyclovir,Valacyclovir,500mg,tablet,Antiviral,Generic,"Take 1 tablet twice daily for herpes treatment","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Acyclovir, Famciclovir, Probenecid",Antiviral,available,22.99,250.00,1000.00,12.50,0.80,0.65,0.75,B,true
Famciclovir,Famciclovir,250mg,tablet,Antiviral,Generic,"Take 1 tablet 3 times daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Acyclovir, Valacyclovir, Probenecid",Antiviral,available,24.99,125.00,500.00,6.25,0.80,0.70,0.80,B,true
Oseltamivir,Oseltamivir,75mg,capsule,Antiviral,Generic,"Take 1 capsule twice daily for influenza","Nausea, vomiting, headache, insomnia","Allergy to medication, severe kidney disease","Zanamivir, Rimantadine, Probenecid",Antiviral,available,45.99,37.50,150.00,1.88,0.80,0.60,0.75,C,true
Zanamivir,Zanamivir,5mg,inhaler,Antiviral,Generic,"Inhale 2 puffs twice daily for flu treatment","Cough, throat irritation, headache","Allergy to medication, severe breathing problems","Oseltamivir, Rimantadine, Albuterol",Antiviral,available,52.99,2.50,10.00,0.13,0.80,0.85,0.90,B,true
Rimantadine,Rimantadine,100mg,tablet,Antiviral,Generic,"Take 1 tablet twice daily for influenza prevention","Nausea, headache, dizziness, insomnia","Allergy to medication, severe liver disease","Oseltamivir, Zanamivir, Amantadine",Antiviral,available,28.99,50.00,200.00,2.50,0.80,0.75,0.80,C,true
Ganciclovir,Ganciclovir,500mg,capsule,Antiviral,Generic,"Take 1 capsule twice daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Valganciclovir, Foscarnet, Cidofovir",Antiviral,available,65.99,250.00,1000.00,12.50,0.80,0.60,0.70,C,false
Valganciclovir,Valganciclovir,450mg,tablet,Antiviral,Generic,"Take 1 tablet twice daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Ganciclovir, Foscarnet, Cidofovir",Antiviral,available,72.99,225.00,900.00,11.25,0.80,0.65,0.75,C,false
Foscarnet,Foscarnet,60mg,injection,Antiviral,Generic,"Inject as directed for viral infection","Nausea, headache, dizziness, kidney problems","Allergy to medication, severe kidney disease","Ganciclovir, Valganciclovir, Cidofovir",Antiviral,available,89.99,30.00,120.00,1.50,0.80,0.50,0.70,C,false
Cidofovir,Cidofovir,375mg,injection,Antiviral,Generic,"Inject as directed for viral infection","Nausea, headache, dizziness, kidney problems","Allergy to medication, severe kidney disease","Ganciclovir, Valganciclovir, Foscarnet",Antiviral,available,95.99,187.50,750.00,9.38,0.80,0.55,0.75,C,false
Ribavirin,Ribavirin,200mg,capsule,Antiviral,Generic,"Take 1 capsule twice daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe heart disease","Interferon Alpha, Peginterferon, Didanosine",Antiviral,available,38.99,100.00,400.00,5.00,0.80,0.70,0.80,X,false
Interferon Alpha,Interferon Alpha,3MIU,injection,Antiviral,Generic,"Inject as directed for viral infection","Flu-like symptoms, fatigue, depression","Allergy to medication, severe depression","Ribavirin, Peginterferon, Theophylline",Antiviral,available,125.99,1.50,6.00,0.08,0.80,0.75,0.80,C,false
Peginterferon,Peginterferon,180mcg,injection,Antiviral,Generic,"Inject as directed for viral infection","Flu-like symptoms, fatigue, depression","Allergy to medication, severe depression","Ribavirin, Interferon Alpha, Theophylline",Antiviral,available,145.99,90.00,360.00,4.50,0.80,0.70,0.75,C,false
Entecavir,Entecavir,0.5mg,tablet,Antiviral,Generic,"Take 1 tablet daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Tenofovir, Lamivudine, Adefovir",Antiviral,available,78.99,0.25,1.00,0.01,0.80,0.60,0.70,B,false
Tenofovir,Tenofovir,300mg,tablet,Antiviral,Generic,"Take 1 tablet daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Entecavir, Lamivudine, Emtricitabine",Antiviral,available,82.99,150.00,600.00,7.50,0.80,0.65,0.75,B,false
Lamivudine,Lamivudine,100mg,tablet,Antiviral,Generic,"Take 1 tablet daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Tenofovir, Emtricitabine, Zidovudine",Antiviral,available,45.99,50.00,200.00,2.50,0.80,0.70,0.80,B,true
Emtricitabine,Emtricitabine,200mg,tablet,Antiviral,Generic,"Take 1 tablet daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Tenofovir, Lamivudine, Abacavir",Antiviral,available,52.99,100.00,400.00,5.00,0.80,0.70,0.80,B,true
Abacavir,Abacavir,300mg,tablet,Antiviral,Generic,"Take 1 tablet daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Tenofovir, Lamivudine, Emtricitabine",Antiviral,available,58.99,150.00,600.00,7.50,0.80,0.70,0.80,B,false
Zidovudine,Zidovudine,300mg,tablet,Antiviral,Generic,"Take 1 tablet daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Lamivudine, Emtricitabine, Abacavir",Antiviral,available,48.99,150.00,600.00,7.50,0.80,0.70,0.80,B,false
Clonidine,Clonidine,0.1mg,tablet,Antihypertensive,Generic,"Take 1 tablet twice daily for blood pressure","Drowsiness, dry mouth, dizziness","Severe heart disease, allergy to clonidine","Beta blockers, Digoxin, Tricyclic antidepressants","Clonidine, Guanfacine, Methyldopa",Antihypertensive,available,12.99,0.05,0.30,0.005,0.80,0.85,0.90,C,false
Guanfacine,Guanfacine,1mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Drowsiness, dry mouth, headache","Severe heart disease, allergy to medication","Beta blockers, Digoxin, Tricyclic antidepressants","Clonidine, Guanfacine, Methyldopa",Antihypertensive,available,14.99,0.50,3.00,0.03,0.80,0.80,0.85,B,false
Methyldopa,Methyldopa,250mg,tablet,Antihypertensive,Generic,"Take 1 tablet 2-3 times daily for hypertension","Drowsiness, dry mouth, dizziness","Severe liver disease, allergy to medication","Beta blockers, Digoxin, Tricyclic antidepressants","Clonidine, Guanfacine, Methyldopa",Antihypertensive,available,11.99,125.00,750.00,6.25,0.80,0.75,0.80,B,false
Verapamil,Verapamil,80mg,tablet,Antihypertensive,Generic,"Take 1 tablet 3 times daily for blood pressure","Dizziness, headache, constipation","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,9.99,40.00,240.00,2.00,0.80,0.75,0.80,C,false
Nifedipine,Nifedipine,30mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,8.99,15.00,60.00,0.75,0.80,0.80,0.85,C,false
Amlodipine,Amlodipine,5mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,10.99,2.50,10.00,0.13,0.80,0.80,0.85,C,false
Felodipine,Felodipine,5mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,12.99,2.50,10.00,0.13,0.80,0.80,0.85,C,false
Isradipine,Isradipine,5mg,tablet,Antihypertensive,Generic,"Take 1 tablet twice daily for blood pressure","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,13.99,2.50,10.00,0.13,0.80,0.80,0.85,C,false
Nicardipine,Nicardipine,20mg,tablet,Antihypertensive,Generic,"Take 1 tablet 3 times daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,15.99,10.00,60.00,0.50,0.80,0.75,0.80,C,false
Nisoldipine,Nisoldipine,20mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,16.99,10.00,40.00,0.50,0.80,0.80,0.85,C,false
Lacidipine,Lacidipine,4mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,18.99,2.00,8.00,0.10,0.80,0.80,0.85,C,false
Manidipine,Manidipine,10mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,19.99,5.00,20.00,0.25,0.80,0.80,0.85,C,false
Cilnidipine,Cilnidipine,10mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,20.99,5.00,20.00,0.25,0.80,0.80,0.85,C,false
Benidipine,Benidipine,4mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,21.99,2.00,8.00,0.10,0.80,0.80,0.85,C,false
Azelnidipine,Azelnidipine,8mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,22.99,4.00,16.00,0.20,0.80,0.80,0.85,C,false
Efonidipine,Efonidipine,40mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,23.99,20.00,80.00,1.00,0.80,0.80,0.85,C,false
Arandipine,Arandipine,5mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,24.99,2.50,10.00,0.13,0.80,0.80,0.85,C,false
Barnidipine,Barnidipine,10mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,25.99,5.00,20.00,0.25,0.80,0.80,0.85,C,false
Cilnidipine,Cilnidipine,10mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Beta blockers, Digoxin, Amiodarone",Antihypertensive,available,26.99,5.00,20.00,0.25,0.80,0.80,0.85,C,false
